cpu,myRandomID,fixedID,myId,randomID,randomIDBase64,randomUUID,secureRandomID,secureRandomIDBase64,secureRandomStrongID,secureRandomStrongIDBase64,threadLocalRandomID,threadLocalRandomIDBase64,timestampFNVID,timestampFNVIDBase64,timestampID,timestampSHA1ID,timestampSequenceFNVID,timestampSequenceFNVIDBase64,timestampSequenceID,timestampSequenceSHA1ID
1,154040.867,182885361.8,2165525.905,7994016.282,7831691.169,245654.151,498216.726,529315.11,115051.048,115356.739,9437977.572,8217817.518,1742414.369,1715180.247,3640992.406,918220.01,1236670.399,1241143.633,2508569.887,811992.41
2,166617.166,258808992.1,2116111.031,3264187.024,3029383.228,149171.547,323928.032,329657.112,60186.92,60356.612,15251849.19,13353993.57,2888404.564,2824834.078,5585332.695,1333741.871,1844498.588,1583023.297,2996842.18,1059192.341
3,107446.735,418971251.5,2557784.815,2755846.746,2847560.94,178053.743,365472.875,367281.056,68659.344,69545.584,23024716.24,19713696.39,3932452.94,4029179.313,8867782.907,1980913.152,2745776.633,2240002.093,4828015.207,1622579.187
4,141955.275,630195845,2638900.622,2905570.637,2716410.271,144926.637,312459.732,353420.186,66138.54,67765.369,30578068.79,27052723.17,5341449.866,5123247.617,12075174.46,2364362.487,3131659.88,3458170.2,6032152.386,1984672.025
5,146224.758,782015925.2,6532845.797,2855031.077,2049572.931,163889.615,258664.3,335895.098,81605.943,77958.951,37237035.52,34064688.48,5743242.954,5329282.777,14489505.81,2536179.711,3980267.444,3915949.455,7872253.552,2597646.268
6,112653.956,918131617.9,4336696.706,2872429.317,2733450.97,152391.821,266423.325,313976.696,82569.497,83525.979,44523647.74,40614473.19,5172729.873,5397178.032,15983442.65,1758014.733,4196161.885,4092260.567,9159796.78,2233495.775
7,99677.735,1100925389,6931798.758,2853658.138,2772512.714,138218.742,254269.319,287353.086,78783.492,84090.766,54601819.55,48320487.58,5304474.456,5219309.655,14908780.08,1771320.948,3832777.14,4002874.368,10551793.82,1909758.126
8,83985.077,1260600037,6884757.773,2820754.499,2428345.206,125975.752,258700.292,306494.552,82566.005,83652.531,59426349.42,52327255.42,5637432.753,5228894.326,15873121.55,1947551.367,4289311.119,4115196.096,11822827.25,1757112.99
9,81134.137,1416338737,6866314.106,3012048.721,2623244.884,133280.498,238816.482,279845.164,81138.552,82732.016,60882481.12,54019183.18,5474687.265,5233486.939,16026266.65,2301710.12,4265156.931,4024364.272,11696137.75,2041280.997
10,81590.77,1575585416,2234299.673,1879799.141,1636590.666,131648.081,275737.6,269112.354,81505.96,83549.898,64149308.93,58986485.73,5737444.621,5994434.353,17470114.85,1950202.994,4392491.986,4333856.629,5459546.867,1785522.747
11,80514.029,1727362999,4715390.91,2175579.725,1853288.192,143766.141,368786.73,299214.446,73810.924,75128.145,68645182.7,68752478.79,6689117.531,7194904.007,19158953.9,1701721.359,5228309.155,5202013.24,4838376.787,1532812.943
12,74367.659,1890839272,4451809.126,1518689.69,1967951.136,163587.156,310059.82,393234.174,72944.306,79618.035,81599908.4,76892761.57,8710656.547,7630740.403,22137041.28,1788353.673,2675258.358,4437059.704,4528431.459,1505678.413
13,78495.031,2040524191,4484819.145,1622124.229,2021087.338,177124.748,356617.867,371260.678,65273.066,76721.973,88641886.78,80123605.86,8599202.186,8844894.531,24327854.44,1615937.999,4546973.463,2045269.51,4638431.669,1461218.297
14,78952.62,2197153600,4343578.411,1946788.325,1944233.76,173657.266,339564.856,398483.735,74931.617,67712.399,99123744.43,87132845.86,9833623.807,9311375.429,27784231.74,1584754.962,2259652.972,4187446.072,2328247.252,1500278.53
15,73598.86,2269671698,4179715.489,2014442.457,1415752.033,183277.72,363517.614,406127.2,64110.74,71181.164,104822109.9,92002994.18,10000959.17,10005303.45,26971104.4,1585612.499,4528822.564,1647673.438,4538840.333,1453839.821
16,74380.2,2499786624,4614169.932,2030589.994,1847448.679,169336.09,355345.086,385222.519,65933.849,70554.717,108024072.1,96199334.83,9686802.455,9633091.784,29964641.32,1400728.071,4085471.406,4481846.54,4195937.587,1308844.926
17,72513.35,2630114290,2169364.84,2005428.127,1977128.197,165823.209,378575.966,387693.912,69268.233,68025.312,103627563.1,99460119.14,10308900.85,9748391.072,28617723.64,1557344.754,4502119.408,2086155.998,4481648.513,1345087.496
18,78023.767,2796068678,1305449.02,1689603.976,956169.139,176198.367,357610.15,356747.741,66339.796,68888.667,117488103.4,104396769.4,10986085.98,11098495.09,31916998.33,1408097.879,4012995.436,1846444.173,4313417.386,1243791.883
19,71386.999,2962651173,2602302.952,1622444.491,1330166.199,176312.138,360474.279,390405.786,68113.029,74747.558,111031682.6,107996520.7,11901858.1,12154826.89,32459941.32,1429947.004,4232389.715,4106684.628,4233966.627,1314126.573
20,71768.09,3109883559,4247091.487,1899313.816,1600948.503,171973.512,370071.419,407082.007,64979.072,74572.808,127017670.9,118119778.7,12326412.98,11898365.73,35945075.05,1428701.057,2023998.306,1971768.117,4465338.931,1410980.532
21,73280.76,2237444470,4490068.258,1658334.288,1517197.676,171059.59,351887.324,398203.137,68529.054,76062.401,138979366.2,123744576.6,13863331.24,13794093.16,38380807.29,1383819.18,4236314.61,4252638.101,4262143.183,1231086.764
22,71349.716,3358180960,4464583.51,1704567.964,1583931.097,168744.672,349609.518,381784.409,67177.76,73807.181,144997391.1,129818437.5,13590281.5,13776255.1,40860941.83,1305833.416,4272356.697,4347448.505,4307676.874,1150068.808
23,73051.541,3574219566,2149038.227,1569624.166,1611159.745,165735.253,358856.936,406831.771,68721.183,75211.644,148011048.8,138852292.3,14641726.64,14507455.52,42836832.5,1429057.471,4237461.716,4106777.71,4249644.083,1229203.62
24,74020.058,3667058433,4269586.669,1623974.904,1595251.726,171553.524,359693.888,379078.111,65801.545,77939.441,161439002.7,123562747.5,14444320.71,14383283.98,41902942.51,1215582.347,4360514.561,4137505.963,4268097.966,1255280.864
25,70289.317,2659193444,4314165.982,1485304.811,1574397.893,166940.665,359485.139,397516.717,66836.897,68814.772,157950515.6,137844491.9,14520530.59,14612978.58,41875118.31,1408971.128,4345115.61,4137014.38,4317592.92,1270877.088
26,70549.493,2765576390,4226873.706,1617380.049,1574801.502,166215.07,367699.837,394788.444,64765.263,75286.191,167331223.8,151227355.5,15054330.5,15360203.21,44804212.18,1222414.406,4201892.114,4190708.336,4239919.259,1154946.649
27,70295.911,4196403023,4115975.388,1801072.155,1486801.172,164790.01,362569.958,404213.662,69356.341,78743.287,174484802.1,158209977,15777515.72,16715529.15,49916129.87,1175799.661,4224816.233,3873883.068,4270469.583,1161077.155
